timestamp,open,high,low,close,volume
2017-04-11,4.0000,4.0000,4.0000,4.0000,0
2017-04-10,4.0000,4.0000,4.0000,4.0000,25
2017-04-07,4.0000,4.0000,4.0000,4.0000,0
2017-04-06,4.0000,4.0000,4.0000,4.0000,0
2017-04-05,4.0000,4.0000,4.0000,4.0000,0
2017-04-04,3.0100,4.0000,2.7900,4.0000,2100
2017-04-03,5.0000,5.0000,5.0000,5.0000,0
2017-03-31,5.0000,5.0000,5.0000,5.0000,0
2017-03-30,5.0000,5.0000,5.0000,5.0000,0
2017-03-29,5.0000,5.0000,5.0000,5.0000,70
2017-03-28,5.0000,5.0000,5.0000,5.0000,0
2017-03-27,5.0000,5.0000,5.0000,5.0000,0
2017-03-24,5.0000,5.0000,5.0000,5.0000,100
2017-03-23,3.0000,5.0000,3.0000,3.0000,539
2017-03-22,4.5000,4.5000,4.5000,4.5000,0
2017-03-21,4.5000,4.5000,4.5000,4.5000,18
2017-03-20,4.2500,4.5000,4.2500,4.5000,200
2017-03-17,3.5500,3.5500,3.5500,3.5500,100
2017-03-16,4.2500,4.2500,4.2500,4.2500,25
2017-03-15,4.2500,4.2500,4.2500,4.2500,0
2017-03-14,4.2500,4.2500,4.2500,4.2500,0
2017-03-13,4.2500,4.2500,4.2500,4.2500,0
2017-03-10,4.2500,4.2500,4.2500,4.2500,0
2017-03-09,4.2500,4.2500,4.2500,4.2500,0
2017-03-08,4.2500,4.2500,4.2500,4.2500,0
2017-03-07,4.2500,4.2500,4.2500,4.2500,0
2017-03-06,4.2500,4.2500,4.2500,4.2500,0
2017-03-03,4.2500,4.2500,4.2500,4.2500,0
2017-03-02,4.2500,4.2500,4.2500,4.2500,0
2017-03-01,4.2500,4.2500,4.2500,4.2500,0
2017-02-28,4.2500,4.2500,4.2500,4.2500,0
2017-02-27,4.2500,4.2500,4.2500,4.2500,0
2017-02-24,4.2500,4.2500,4.2500,4.2500,0
2017-02-23,4.2500,4.2500,4.2500,4.2500,0
2017-02-22,4.2500,4.2500,4.2500,4.2500,0
2017-02-21,4.2500,4.2500,4.2500,4.2500,0
2017-02-17,3.5500,4.2500,3.5500,4.2500,10100
2017-02-16,3.5000,4.2500,3.5000,4.2500,500
2017-02-15,4.2500,4.2500,4.2500,4.2500,0
2017-02-14,4.2500,4.2500,4.2500,4.2500,0
2017-02-13,4.2500,4.2500,4.2500,4.2500,0
2017-02-10,4.2500,4.2500,4.2500,4.2500,0
2017-02-09,4.2500,4.2500,4.2500,4.2500,0
2017-02-08,4.2500,4.2500,4.2500,4.2500,0
2017-02-07,4.2500,4.2500,4.2500,4.2500,100
2017-02-06,4.0000,4.0000,4.0000,4.0000,100
2017-02-03,4.2500,4.2500,4.2500,4.2500,0
2017-02-02,4.2500,4.2500,4.2500,4.2500,500
2017-02-01,3.0000,4.0000,3.0000,4.0000,200
2017-01-31,3.0000,3.0000,3.0000,3.0000,0
2017-01-30,3.0000,3.0000,3.0000,3.0000,100
2017-01-27,3.5000,3.5000,3.5000,3.5000,0
2017-01-26,3.5000,3.5000,3.5000,3.5000,0
2017-01-25,3.5000,3.5000,3.5000,3.5000,0
2017-01-24,3.5000,3.5000,3.5000,3.5000,0
2017-01-23,3.5000,3.5000,3.5000,3.5000,0
2017-01-20,3.5000,3.5000,3.5000,3.5000,0
2017-01-19,3.5000,3.5000,3.5000,3.5000,0
2017-01-18,3.5000,3.5000,3.5000,3.5000,0
2017-01-17,3.5000,3.5000,3.5000,3.5000,0
2017-01-13,3.5000,3.5000,3.5000,3.5000,0
2017-01-12,3.5000,3.5000,3.5000,3.5000,0
2017-01-11,3.5000,3.5000,3.5000,3.5000,0
2017-01-10,3.5000,3.5000,3.5000,3.5000,100
2017-01-09,3.5500,3.5500,3.5500,3.5500,0
2017-01-06,3.5500,3.5500,3.5500,3.5500,0
2017-01-05,3.5500,3.5500,3.5500,3.5500,0
2017-01-04,3.5500,3.5500,3.5500,3.5500,0
2017-01-03,3.5500,3.5500,3.5500,3.5500,130
2016-12-30,3.5000,3.5000,3.5000,3.5000,0
2016-12-29,3.5000,3.5000,3.5000,3.5000,0
2016-12-28,3.5000,3.5000,3.5000,3.5000,0
2016-12-27,3.5000,3.5000,3.5000,3.5000,0
2016-12-23,3.5000,3.5000,3.5000,3.5000,400
2016-12-22,3.5400,3.5400,3.5000,3.5000,290
2016-12-21,3.5000,3.5000,3.5000,3.5000,0
2016-12-20,3.5000,3.5000,3.5000,3.5000,0
2016-12-19,3.5000,3.5000,3.5000,3.5000,0
2016-12-16,3.5000,3.5000,3.5000,3.5000,0
2016-12-15,3.5000,3.5000,3.5000,3.5000,0
2016-12-14,3.5000,3.5000,3.5000,3.5000,0
2016-12-13,3.5000,3.5000,3.5000,3.5000,0
2016-12-12,3.5000,3.5000,3.5000,3.5000,0
2016-12-09,3.5000,3.5000,3.5000,3.5000,0
2016-12-08,3.5000,3.5000,3.5000,3.5000,0
2016-12-07,3.5000,3.5000,3.5000,3.5000,0
2016-12-06,3.5000,3.5000,3.5000,3.5000,0
2016-12-05,3.5000,3.5000,3.5000,3.5000,0
2016-12-02,3.5000,3.5000,3.5000,3.5000,0
2016-12-01,3.5000,3.5000,3.5000,3.5000,0
2016-11-30,3.5000,3.5000,3.5000,3.5000,0
2016-11-29,3.5000,3.5000,3.5000,3.5000,2500
2016-11-28,3.5000,3.5000,3.5000,3.5000,0
2016-11-25,3.5000,3.5000,3.5000,3.5000,0
2016-11-23,3.5500,3.5500,3.5000,3.5000,5800
2016-11-22,4.5000,4.5000,4.5000,4.5000,100
2016-11-21,3.1500,3.1500,3.1500,3.1500,1575
2016-11-18,3.4900,3.4900,3.4900,3.4900,0
2016-11-17,3.4900,3.4900,3.4900,3.4900,0
2016-11-16,3.4900,3.4900,3.4900,3.4900,350
2016-11-15,3.7000,3.7000,3.7000,3.7000,0
2016-11-14,3.7000,3.7000,3.7000,3.7000,0
2016-11-11,3.7000,3.7000,3.7000,3.7000,0
2016-11-10,3.7000,3.7000,3.7000,3.7000,0
2016-11-09,3.7000,3.7000,3.7000,3.7000,0
2016-11-08,3.7000,3.7000,3.7000,3.7000,0
2016-11-07,3.7000,3.7000,3.7000,3.7000,0
2016-11-04,3.7000,3.7000,3.7000,3.7000,0
2016-11-03,3.7000,3.7000,3.7000,3.7000,0
2016-11-02,3.7000,3.7000,3.7000,3.7000,0
2016-11-01,3.7000,3.7000,3.7000,3.7000,0
2016-10-31,3.7000,3.7000,3.7000,3.7000,0
2016-10-28,3.7000,3.7000,3.7000,3.7000,0
2016-10-27,3.7000,3.7000,3.7000,3.7000,0
2016-10-26,3.7000,3.7000,3.7000,3.7000,0
2016-10-25,3.7000,3.7000,3.7000,3.7000,0
2016-10-24,3.7000,3.7000,3.7000,3.7000,0
2016-10-21,3.7000,3.7000,3.7000,3.7000,0
2016-10-20,3.7000,3.7000,3.7000,3.7000,0
2016-10-19,3.7000,3.7000,3.7000,3.7000,0
2016-10-18,3.7000,3.7000,3.7000,3.7000,0
2016-10-17,3.7000,3.7000,3.7000,3.7000,0
2016-10-14,3.7000,3.7000,3.7000,3.7000,0
2016-10-13,3.7000,3.7000,3.7000,3.7000,0
2016-10-12,3.7000,3.7000,3.7000,3.7000,0
2016-10-11,3.7000,3.7000,3.7000,3.7000,1180
2016-10-10,3.0000,3.9500,3.0000,3.9500,10100
2016-10-07,3.6500,3.6500,3.6500,3.6500,0
2016-10-06,3.6500,3.6500,3.6500,3.6500,0
2016-10-05,3.6500,3.6500,3.6500,3.6500,0
2016-10-04,3.6500,3.6500,3.6500,3.6500,0
2016-10-03,3.6500,3.6500,3.6500,3.6500,0
2016-09-30,3.6500,3.6500,3.6500,3.6500,0
2016-09-29,3.6500,3.6500,3.6500,3.6500,0
2016-09-28,3.6500,3.6500,3.6500,3.6500,0
2016-09-27,3.6500,3.6500,3.6500,3.6500,0
2016-09-26,3.6500,3.6500,3.6500,3.6500,0
2016-09-23,3.6500,3.6500,3.6500,3.6500,0
2016-09-22,3.6500,3.6500,3.6500,3.6500,0
2016-09-21,3.6500,3.6500,3.6500,3.6500,0
2016-09-20,3.6500,3.6500,3.6500,3.6500,0
2016-09-19,3.6500,3.6500,3.6500,3.6500,0
2016-09-16,3.6500,3.6500,3.6500,3.6500,0
2016-09-15,3.6500,3.6500,3.6500,3.6500,0
2016-09-14,3.6500,3.6500,3.6500,3.6500,0
2016-09-13,3.6500,3.6500,3.6500,3.6500,0
2016-09-12,3.6500,3.6500,3.6500,3.6500,0
2016-09-09,3.6500,3.6500,3.6500,3.6500,0
2016-09-08,3.6500,3.6500,3.6500,3.6500,100
2016-09-07,3.6500,3.6500,3.6500,3.6500,0
2016-09-06,3.6500,3.6500,3.6500,3.6500,0
2016-09-02,3.6500,3.6500,3.6500,3.6500,0
2016-09-01,2.7500,3.6500,2.7500,3.6500,950
2016-08-31,3.5000,3.5000,3.5000,3.5000,200
2016-08-30,3.5000,3.5000,3.5000,3.5000,300
2016-08-29,3.5000,3.5000,3.5000,3.5000,0
2016-08-26,3.5000,3.5000,3.5000,3.5000,350
2016-08-25,3.7500,3.7500,3.7500,3.7500,200
2016-08-24,2.8000,2.8000,2.8000,2.8000,0
2016-08-23,2.8000,2.8000,2.8000,2.8000,0
2016-08-22,2.8000,2.8000,2.8000,2.8000,0
2016-08-19,2.8000,2.8000,2.8000,2.8000,301
2016-08-18,3.0000,3.0000,3.0000,3.0000,0
2016-08-17,3.0000,3.0000,3.0000,3.0000,0
2016-08-16,3.0000,3.0000,3.0000,3.0000,0
2016-08-15,3.0000,3.0000,3.0000,3.0000,0
2016-08-12,3.0000,3.0000,3.0000,3.0000,1400
2016-08-11,3.1000,3.1000,3.1000,3.1000,0
2016-08-10,3.1000,3.1000,3.1000,3.1000,0
2016-08-09,3.1000,3.1000,3.1000,3.1000,0
2016-08-08,3.1000,3.1000,3.1000,3.1000,0
2016-08-05,3.1000,3.1000,3.1000,3.1000,0
2016-08-04,2.5000,3.1000,2.5000,3.1000,1200
2016-08-03,3.0000,3.0000,3.0000,3.0000,1200
2016-08-02,3.3000,3.3000,3.3000,3.3000,0
2016-08-01,3.3000,3.3000,3.3000,3.3000,0
2016-07-29,3.3000,3.3000,3.3000,3.3000,0
2016-07-28,3.3000,3.3000,3.3000,3.3000,0
2016-07-27,3.3000,3.3000,3.3000,3.3000,0
2016-07-26,3.3000,3.3000,3.3000,3.3000,0
2016-07-25,3.3000,3.3000,3.3000,3.3000,0
2016-07-22,3.3000,3.3000,3.3000,3.3000,400
2016-07-21,3.3000,3.3000,3.3000,3.3000,0
2016-07-20,3.3000,3.3000,3.3000,3.3000,0
2016-07-19,3.3000,3.3000,3.3000,3.3000,300
2016-07-18,2.9600,3.0000,2.9600,3.0000,330
2016-07-15,3.0000,3.0000,3.0000,3.0000,0
2016-07-14,3.0000,3.0000,3.0000,3.0000,0
2016-07-13,3.0000,3.0000,3.0000,3.0000,200
2016-07-12,3.1900,3.1900,3.1900,3.1900,0
2016-07-11,3.1900,3.1900,3.1900,3.1900,0
2016-07-08,3.1900,3.1900,3.1900,3.1900,152
2016-07-07,3.2000,3.2000,3.2000,3.2000,0
2016-07-06,3.2000,3.2000,3.2000,3.2000,800
2016-07-05,3.5000,3.5000,3.5000,3.5000,0
2016-07-01,3.5000,3.5000,3.5000,3.5000,0
2016-06-30,3.5000,3.5000,3.5000,3.5000,0
2016-06-29,3.5000,3.5000,3.5000,3.5000,200
2016-06-28,3.2500,3.2500,3.2500,3.2500,0
2016-06-27,3.2500,3.2500,3.2500,3.2500,0
2016-06-24,3.2500,3.2500,3.2500,3.2500,300
2016-06-23,3.2500,3.3000,3.2500,3.3000,300
2016-06-22,3.0000,3.0000,3.0000,3.0000,100
2016-06-21,3.0000,3.0000,3.0000,3.0000,0
2016-06-20,3.0000,3.0000,3.0000,3.0000,400
2016-06-17,3.0000,3.0000,3.0000,3.0000,2600
2016-06-16,3.0600,3.2500,3.0600,3.2500,1600
2016-06-15,3.1000,3.1000,3.1000,3.1000,0
2016-06-14,3.1000,3.1000,3.1000,3.1000,0
2016-06-13,3.1000,3.1000,3.1000,3.1000,0
2016-06-10,3.1000,3.1000,3.1000,3.1000,0
2016-06-09,3.1000,3.1000,3.1000,3.1000,0
2016-06-08,3.1000,3.1000,3.1000,3.1000,0
2016-06-07,3.1000,3.1000,3.1000,3.1000,0
2016-06-06,3.1000,3.1000,3.1000,3.1000,0
2016-06-03,3.1000,3.1000,3.1000,3.1000,2200
2016-06-02,3.0000,3.0000,3.0000,3.0000,0
2016-06-01,3.2500,3.2500,3.0000,3.0000,4100
2016-05-31,3.2500,3.2500,3.2500,3.2500,0
2016-05-27,3.2500,3.2500,3.2500,3.2500,600
2016-05-26,3.2000,3.2000,3.2000,3.2000,300
2016-05-25,3.2500,3.2500,3.2500,3.2500,100
2016-05-24,3.0000,3.0000,3.0000,3.0000,0
2016-05-23,3.0000,3.0000,3.0000,3.0000,0
2016-05-20,3.0000,3.0000,3.0000,3.0000,100
2016-05-19,2.0000,3.2500,2.0000,2.0000,285
2016-05-18,3.1500,3.1500,3.1500,3.1500,700
2016-05-17,3.0000,3.0000,3.0000,3.0000,0
2016-05-16,3.4500,3.4500,3.0000,3.0000,900
2016-05-13,3.2500,3.2500,3.2500,3.2500,100
2016-05-12,3.0000,3.0000,3.0000,3.0000,0
2016-05-11,3.0000,3.0000,3.0000,3.0000,0
2016-05-10,3.0000,3.0000,3.0000,3.0000,0
2016-05-09,3.0000,3.0000,3.0000,3.0000,0
2016-05-06,3.0000,3.0000,3.0000,3.0000,0
2016-05-05,3.0000,3.0000,3.0000,3.0000,0
2016-05-04,3.0000,3.0000,3.0000,3.0000,0
2016-05-03,3.0000,3.0000,3.0000,3.0000,0
2016-05-02,3.5000,3.5000,3.0000,3.0000,1600
2016-04-29,3.7500,3.7500,3.7500,3.7500,100
2016-04-28,3.5000,3.5000,3.5000,3.5000,0
2016-04-27,3.5000,3.5000,3.5000,3.5000,0
2016-04-26,3.5000,3.5000,3.5000,3.5000,0
2016-04-25,3.5000,3.5000,3.5000,3.5000,0
2016-04-22,3.5000,3.5000,3.5000,3.5000,0
2016-04-21,3.5000,3.5000,3.5000,3.5000,0
2016-04-20,3.5000,3.5000,3.5000,3.5000,0
2016-04-19,3.5000,3.5000,3.5000,3.5000,0
2016-04-18,3.5000,3.5000,3.5000,3.5000,0
2016-04-15,3.5000,3.5000,3.5000,3.5000,0
2016-04-14,3.5000,3.5000,3.5000,3.5000,0
2016-04-13,3.5000,3.5000,3.5000,3.5000,0
2016-04-12,3.5000,3.5000,3.4999,3.5000,947
2016-04-11,3.0000,3.0000,3.0000,3.0000,3300
2016-04-08,3.0000,3.0000,3.0000,3.0000,0
2016-04-07,3.0000,3.0000,3.0000,3.0000,0
2016-04-06,3.0000,3.0000,3.0000,3.0000,0
2016-04-05,3.0000,3.0000,3.0000,3.0000,0
2016-04-04,3.0000,3.0000,3.0000,3.0000,0
2016-04-01,3.0000,3.0000,3.0000,3.0000,0
2016-03-31,3.0000,3.0000,3.0000,3.0000,100
2016-03-30,2.2500,2.2500,2.2500,2.2500,0
2016-03-29,2.2500,2.2500,2.2500,2.2500,0
2016-03-28,2.2500,2.2500,2.2500,2.2500,100
2016-03-24,3.0000,3.0000,3.0000,3.0000,0
2016-03-23,3.0000,3.0000,3.0000,3.0000,0
2016-03-22,3.0000,3.0000,3.0000,3.0000,0
2016-03-21,3.0000,3.0000,3.0000,3.0000,0
2016-03-18,3.0000,3.0000,3.0000,3.0000,0
2016-03-17,3.0000,3.0000,3.0000,3.0000,0
2016-03-16,3.0000,3.0000,3.0000,3.0000,0
2016-03-15,3.0000,3.0000,3.0000,3.0000,0
2016-03-14,3.0000,3.0000,3.0000,3.0000,0
2016-03-11,3.0000,3.0000,3.0000,3.0000,0
2016-03-10,3.0000,3.0000,3.0000,3.0000,0
2016-03-09,3.0000,3.0000,3.0000,3.0000,0
2016-03-08,3.0000,3.0000,3.0000,3.0000,0
2016-03-07,3.0000,3.0000,3.0000,3.0000,0
2016-03-04,3.0000,3.0000,3.0000,3.0000,0
2016-03-03,3.0000,3.0000,3.0000,3.0000,0
2016-03-02,3.0000,3.0000,3.0000,3.0000,0
2016-03-01,3.0000,3.0000,3.0000,3.0000,0
2016-02-29,3.0000,3.0000,3.0000,3.0000,0
2016-02-26,3.0000,3.0000,3.0000,3.0000,0
2016-02-25,3.0000,3.0000,3.0000,3.0000,0
2016-02-24,3.0000,3.0000,3.0000,3.0000,0
2016-02-23,3.0000,3.0000,3.0000,3.0000,0
2016-02-22,3.0000,3.0000,3.0000,3.0000,0
2016-02-19,3.0000,3.0000,3.0000,3.0000,0
2016-02-18,3.0000,3.0000,3.0000,3.0000,0
2016-02-17,3.0000,3.0000,3.0000,3.0000,0
2016-02-16,3.0000,3.0000,3.0000,3.0000,0
2016-02-12,3.0000,3.0000,3.0000,3.0000,0
2016-02-11,3.0000,3.0000,3.0000,3.0000,0
2016-02-10,3.0000,3.0000,3.0000,3.0000,0
2016-02-09,3.0000,3.0000,3.0000,3.0000,0
2016-02-08,3.0000,3.0000,3.0000,3.0000,0
2016-02-05,3.0000,3.0000,3.0000,3.0000,0
2016-02-04,3.0000,3.0000,3.0000,3.0000,0
2016-02-03,3.0000,3.0000,3.0000,3.0000,0
2016-02-02,3.0000,3.0000,3.0000,3.0000,0
2016-02-01,3.0000,3.0000,3.0000,3.0000,0
2016-01-29,3.5000,3.5000,3.0000,3.0000,200
